시군구별,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12
인천광역시," 1,324 "," 1,251 "," 1,438 "," 1,299 "," 1,432 "," 1,390 "," 1,236 "," 1,341 "," 1,066 "," 1,227 "," 1,482 "," 1,606 "," 1,349 "," 1,211 "," 1,363 "," 1,182 "," 1,454 "," 1,216 "," 1,131 "," 1,197 "," 1,058 "," 1,034 "," 1,473 "," 1,567 "," 1,435 "," 1,051 "," 1,312 "," 1,222 "," 1,388 "," 1,179 "," 1,117 "," 1,144 ", 859 ," 1,273 "," 1,366 "," 1,504 "
　　　중구,58,67,45,57,67,58,54,57,47,43,47,77,61,67,65,54,63,64,59,51,48,46,67,59,50,47,66,52,63,44,56,56,46,63,71,95
　　　동구,21,34,36,27,34,36,31,34,31,27,38,31,28,25,22,30,32,29,28,16,27,18,26,29,32,17,22,29,29,22,18,31,20,33,27,28
　　　남구,194,179,218,188,199,209,194,204,169,187,223,264,223,223,217,184,226,195,200,213,170,158,222,210,0,0,0,0,0,0,0,0,0,0,0,0
　　　연수구,109,132,141,121,177,129,133,146,98,118,177,146,133,110,142,122,142,135,105,108,96,125,147,170,157,83,141,117,143,118,119,123,86,112,149,198
　　　남동구,279,250,276,240,257,270,235,251,192,233,266,287,262,201,247,217,267,236,209,202,201,195,282,307,255,217,237,212,262,215,203,216,142,232,221,267
　　　부평구,263,210,285,246,280,278,193,278,209,249,271,302,269,224,243,220,290,210,202,236,174,196,280,307,288,176,240,221,265,222,202,181,147,204,259,246
　　　계양구,152,123,149,168,149,130,136,140,97,116,152,178,123,117,146,119,131,128,114,133,135,104,178,157,151,108,128,151,139,125,106,112,81,120,141,131
　　　서구,224,225,255,227,242,245,229,211,201,228,280,293,222,213,249,213,271,191,186,206,178,166,239,296,268,219,244,236,267,228,231,234,174,281,256,297
　　　미추홀구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,198,161,204,177,195,181,156,164,146,196,213,209
　　　강화군,18,20,22,17,21,15,17,16,20,21,15,17,19,18,23,19,22,18,14,22,15,17,24,23,24,14,19,17,17,13,16,17,13,18,17,22
　　　옹진군,6,11,11,8,6,20,14,4,2,5,13,11,9,13,9,4,10,10,14,10,14,9,8,9,12,9,11,10,8,11,10,10,4,14,12,11
