2018,11岿 30老,1.75
2017,11岿 30老,1.5
2016,06岿 09老,1.25
2015,06岿 11老,1.5
2015,03岿 12老,1.75
2014,10岿 15老,2
2014,08岿 14老,2.25
2013,05岿 09老,2.5
2012,10岿 11老,2.75
2012,07岿 12老,3
2011,06岿 10老,3.25
2011,03岿 10老,3
2011,01岿 13老,2.75
2010,11岿 16老,2.5
2010,07岿 09老,2.25
2009,02岿 12老,2
2009,01岿 09老,2.5
2008,12岿 11老,3
2008,11岿 07老,4
2008,10岿 27老,4.25
2008,10岿 09老,5
2008,08岿 07老,5.25
2007,08岿 09老,5
2007,07岿 12老,4.75
2006,08岿 10老,4.5
2006,06岿 08老,4.25
2006,02岿 09老,4
2005,12岿 08老,3.75
2005,10岿 11老,3.5
2004,11岿 11老,3.25
2004,08岿 12老,3.5
2003,07岿 10老,3.75
2003,05岿 13老,4
2002,05岿 07老,4.25
2001,09岿 19老,4
2001,08岿 09老,4.5
2001,07岿 05老,4.75
2001,02岿 08老,5
2000,10岿 05老,5.25
2000,02岿 10老,5
1999,05岿 06老,4.75
